female,prechod,C,D,OR6,OR8,sig_OR6,sig_OR8,OR86,barva
0. male,N2C_Z,euro5,euro11,3.1547619048,0.4527777778,nesig,nesig,0.1435220126,B4
0. male,N2C_Z,euro5,euro12,2.4623376623,3.16,nesig,sig,1.2833333333,B3
0. male,N2C_Z,euro5,euro2,2.724609375,1.1851851852,sig,nesig,0.4349926988,B2
0. male,N2C_Z,euro5,euro3,3.1776315789,1.0866666667,nesig,nesig,0.341973775,B4
0. male,N2C_Z,euro5,euro4,2.8828828829,1.0866666667,nesig,nesig,0.3769375,B4
0. male,N2C_Z,euro5,euro5,,,nesig,nesig,,B4
0. male,N2C_Z,euro5,euro6,1.7297297297,0.5433333333,nesig,nesig,0.3141145833,B4
0. male,N2C_Z,euro5,euro7,3.2662068966,2.6420454545,sig,sig,0.8089032747,B1
0. male,N2C_Z,euro5,euro9,2.6964285714,5.8203125,sig,sig,2.1585264901,B1
0. male,N2C_Z,euro6,euro1,5.2,4.2741935484,sig,sig,0.8219602978,B1
0. male,N2C_Z,euro6,euro10,5.3863636364,4.025,sig,nesig,0.747257384,B2
0. male,N2C_Z,euro6,euro11,2.7,6.0375,nesig,sig,2.2361111111,B3
0. male,N2C_Z,euro6,euro12,4.9230769231,0.9588235294,sig,nesig,0.1947610294,B2
0. male,N2C_Z,euro6,euro2,3.0476190476,4.5714285714,nesig,sig,1.5,B3
0. male,N2C_Z,euro6,euro5,1.7297297297,0.5433333333,nesig,nesig,0.3141145833,B4
0. male,N2C_Z,euro6,euro6,,,nesig,nesig,,B4
0. male,N2C_Z,euro6,euro7,4.1315789474,2.0125,sig,nesig,0.4871019108,B2
0. male,N2C_Z,euro6,euro8,3.375,4.075,nesig,nesig,1.2074074074,B4
0. male,N2C_Z,euro6,euro9,6.7096774194,5.7454545455,sig,sig,0.8562937063,B1
0. male,N2C_Z,euro7,euro1,5.8963636364,8.2203947368,sig,sig,1.3941465018,B1
0. male,N2C_Z,euro7,euro10,3.4545454545,1.5763546798,sig,nesig,0.4563131968,B2
0. male,N2C_Z,euro7,euro11,1.2777777778,0.9501466276,nesig,nesig,0.7435930129,B4
0. male,N2C_Z,euro7,euro12,8.25,4.992,sig,sig,0.6050909091,B1
0. male,N2C_Z,euro7,euro2,1.6067251462,1.1034482759,nesig,nesig,0.6867685357,B4
0. male,N2C_Z,euro7,euro3,,2.6129032258,nesig,nesig,,B4
0. male,N2C_Z,euro7,euro4,3.975,11.034482759,sig,sig,2.7759705053,B1
0. male,N2C_Z,euro7,euro5,3.2662068966,2.6420454545,sig,sig,0.8089032747,B1
0. male,N2C_Z,euro7,euro6,4.1315789474,2.0125,sig,nesig,0.4871019108,B2
0. male,N2C_Z,euro7,euro7,,,nesig,nesig,,B4
0. male,N2C_Z,euro7,euro8,1.6428571429,3.4838709677,nesig,nesig,2.1206171108,B4
0. male,N2C_Z,euro7,euro9,3.5502248876,1.6103225806,sig,nesig,0.4535832607,B2
0. male,N2C_Z,euro8,euro1,5.6428571429,7.3181818182,sig,sig,1.2968929804,B1
0. male,N2C_Z,euro8,euro10,6.9130434783,6.75,sig,sig,0.9764150943,B1
0. male,N2C_Z,euro8,euro12,2.7,2.3970588235,nesig,nesig,0.8877995643,B4
0. male,N2C_Z,euro8,euro2,3.1363636364,1.7717391304,nesig,nesig,0.5649023314,B4
0. male,N2C_Z,euro8,euro6,3.375,4.075,nesig,nesig,1.2074074074,B4
0. male,N2C_Z,euro8,euro7,1.6428571429,3.4838709677,nesig,nesig,2.1206171108,B4
0. male,N2C_Z,euro8,euro8,,,nesig,nesig,,B4
0. male,N2C_Z,euro8,euro9,1.9166666667,6.7083333333,nesig,sig,3.5,B3
0. male,N2C_Z,euro9,euro1,4.1714285714,4.4345238095,sig,sig,1.0630707763,B1
0. male,N2C_Z,euro9,euro10,5.0333333333,4.0258064516,sig,sig,0.7998290963,B1
0. male,N2C_Z,euro9,euro11,3.3403361345,8.0516129032,sig,sig,2.4104199635,B1
0. male,N2C_Z,euro9,euro12,2.6115702479,2.3939393939,nesig,nesig,0.9166666667,B4
0. male,N2C_Z,euro9,euro2,2.90625,3.7931034483,sig,sig,1.3051538747,B1
0. male,N2C_Z,euro9,euro3,3.3541666667,2.1891891892,nesig,nesig,0.6526775222,B4
0. male,N2C_Z,euro9,euro4,4.6764705882,0.8578947368,sig,nesig,0.183449189,B2
0. male,N2C_Z,euro9,euro5,2.6964285714,5.8203125,sig,sig,2.1585264901,B1
0. male,N2C_Z,euro9,euro6,6.7096774194,5.7454545455,sig,sig,0.8562937063,B1
0. male,N2C_Z,euro9,euro7,3.5502248876,1.6103225806,sig,nesig,0.4535832607,B2
0. male,N2C_Z,euro9,euro8,1.9166666667,6.7083333333,nesig,sig,3.5,B3
0. male,N2C_Z,euro9,euro9,,,nesig,nesig,,B4
0. male,N2_N1,euro1,euro1,,,nesig,nesig,,B4
0. male,N2_N1,euro1,euro10,4.575,1.8055555556,sig,nesig,0.394656952,B2
0. male,N2_N1,euro1,euro12,8.4285714286,13.071428571,sig,sig,1.5508474576,B1
0. male,N2_N1,euro1,euro2,0.5238095238,1.2037037037,nesig,nesig,2.297979798,B4
0. male,N2_N1,euro1,euro3,6.5,,nesig,nesig,,B4
0. male,N2_N1,euro1,euro4,6.5,11.294117647,nesig,sig,1.7375565611,B3
0. male,N2_N1,euro1,euro5,4,10.028571429,sig,sig,2.5071428571,B1
0. male,N2_N1,euro1,euro6,18.235294118,7.2222222222,sig,nesig,0.3960573477,B2
0. male,N2_N1,euro1,euro7,5.0192307692,4.9166666667,sig,sig,0.9795657727,B1
0. male,N2_N1,euro1,euro8,10.105263158,1.7368421053,nesig,nesig,0.171875,B4
0. male,N2_N1,euro1,euro9,6.7857142857,9.4909090909,sig,sig,1.3986602871,B1
0. male,N2_N1,euro10,euro1,4.575,1.8055555556,sig,nesig,0.394656952,B2
0. male,N2_N1,euro10,euro10,,,nesig,nesig,,B4
0. male,N2_N1,euro10,euro11,3.3,16.25,nesig,sig,4.9242424242,B3
0. male,N2_N1,euro10,euro12,1.4444444444,1.8857142857,nesig,nesig,1.3054945055,B4
0. male,N2_N1,euro10,euro2,1.1,1.8857142857,nesig,nesig,1.7142857143,B4
0. male,N2_N1,euro10,euro3,14.444444444,13.2,sig,nesig,0.9138461538,B2
0. male,N2_N1,euro10,euro5,1.7142857143,1.5476190476,nesig,nesig,0.9027777778,B4
0. male,N2_N1,euro10,euro6,18,6.6,sig,nesig,0.3666666667,B2
0. male,N2_N1,euro10,euro7,1.7142857143,0.88,nesig,nesig,0.5133333333,B4
0. male,N2_N1,euro10,euro9,4.3055555556,5.8181818182,sig,sig,1.3513196481,B1
0. male,N2_N1,euro11,euro10,3.3,16.25,nesig,sig,4.9242424242,B3
0. male,N2_N1,euro11,euro11,,,nesig,nesig,,B4
0. male,N2_N1,euro11,euro5,1.375,3.0952380952,nesig,nesig,2.2510822511,B4
0. male,N2_N1,euro12,euro1,8.4285714286,13.071428571,sig,sig,1.5508474576,B1
0. male,N2_N1,euro12,euro10,1.4444444444,1.8857142857,nesig,nesig,1.3054945055,B4
0. male,N2_N1,euro12,euro12,,,nesig,nesig,,B4
0. male,N2_N1,euro12,euro2,1,1.3469387755,nesig,nesig,1.3469387755,B4
0. male,N2_N1,euro12,euro3,13,9.4285714286,sig,nesig,0.7252747253,B2
0. male,N2_N1,euro12,euro4,3,3.1428571429,nesig,nesig,1.0476190476,B4
0. male,N2_N1,euro12,euro5,1.5,3.3157894737,nesig,nesig,2.2105263158,B4
0. male,N2_N1,euro12,euro7,2.4230769231,1.5476190476,nesig,nesig,0.6386999244,B4
0. male,N2_N1,euro12,euro8,6.5,4.7142857143,nesig,nesig,0.7252747253,B4
0. male,N2_N1,euro12,euro9,0.8666666667,1.8055555556,nesig,nesig,2.0833333333,B4
0. male,N2_N1,euro2,euro1,0.5238095238,1.2037037037,nesig,nesig,2.297979798,B4
0. male,N2_N1,euro2,euro10,1.1,1.8857142857,nesig,nesig,1.7142857143,B4
0. male,N2_N1,euro2,euro12,1,1.3469387755,nesig,nesig,1.3469387755,B4
0. male,N2_N1,euro2,euro2,,,nesig,nesig,,B4
0. male,N2_N1,euro2,euro5,0.4583333333,1.0317460317,nesig,nesig,2.2510822511,B4
0. male,N2_N1,euro2,euro9,0.6875,1.8055555556,nesig,nesig,2.6262626263,B4
0. male,N2_N1,euro3,euro1,6.5,,nesig,nesig,,B4
0. male,N2_N1,euro3,euro10,14.444444444,13.2,sig,nesig,0.9138461538,B2
0. male,N2_N1,euro3,euro12,13,9.4285714286,sig,nesig,0.7252747253,B2
0. male,N2_N1,euro3,euro3,,,nesig,nesig,,B4
0. male,N2_N1,euro3,euro5,5.652173913,3,nesig,nesig,0.5307692308,B4
0. male,N2_N1,euro3,euro6,32.5,33,sig,sig,1.0153846154,B1
0. male,N2_N1,euro3,euro7,8.6666666667,,nesig,nesig,,B4
0. male,N2_N1,euro3,euro9,,5.0769230769,nesig,nesig,,B4
0. male,N2_N1,euro4,euro1,6.5,11.294117647,nesig,sig,1.7375565611,B3
0. male,N2_N1,euro4,euro12,3,3.1428571429,nesig,nesig,1.0476190476,B4
0. male,N2_N1,euro4,euro4,,,nesig,nesig,,B4
0. male,N2_N1,euro4,euro5,5.652173913,,nesig,nesig,,B4
0. male,N2_N1,euro4,euro6,6.6,11,nesig,nesig,1.6666666667,B4
0. male,N2_N1,euro4,euro9,8.6666666667,1.6923076923,nesig,nesig,0.1952662722,B4
0. male,N2_N1,euro5,euro1,4,10.028571429,sig,sig,2.5071428571,B1
0. male,N2_N1,euro5,euro10,1.7142857143,1.5476190476,nesig,nesig,0.9027777778,B4
0. male,N2_N1,euro5,euro11,1.375,3.0952380952,nesig,nesig,2.2510822511,B4
0. male,N2_N1,euro5,euro12,1.5,3.3157894737,nesig,nesig,2.2105263158,B4
0. male,N2_N1,euro5,euro2,0.4583333333,1.0317460317,nesig,nesig,2.2510822511,B4
0. male,N2_N1,euro5,euro3,5.652173913,3,nesig,nesig,0.5307692308,B4
0. male,N2_N1,euro5,euro4,5.652173913,,nesig,nesig,,B4
0. male,N2_N1,euro5,euro5,,,nesig,nesig,,B4
0. male,N2_N1,euro5,euro6,2.9090909091,6.1904761905,nesig,nesig,2.1279761905,B4
0. male,N2_N1,euro5,euro7,3.0849673203,3.9333333333,sig,sig,1.275,B1
0. male,N2_N1,euro5,euro8,8.7272727273,1.5,nesig,nesig,0.171875,B4
0. male,N2_N1,euro5,euro9,5.4285714286,10.961538462,sig,sig,2.0192307692,B1
0. male,N2_N1,euro6,euro1,18.235294118,7.2222222222,sig,nesig,0.3960573477,B2
0. male,N2_N1,euro6,euro10,18,6.6,sig,nesig,0.3666666667,B2
0. male,N2_N1,euro6,euro3,32.5,33,sig,sig,1.0153846154,B1
0. male,N2_N1,euro6,euro4,6.6,11,nesig,nesig,1.6666666667,B4
0. male,N2_N1,euro6,euro5,2.9090909091,6.1904761905,nesig,nesig,2.1279761905,B4
0. male,N2_N1,euro6,euro6,,,nesig,nesig,,B4
0. male,N2_N1,euro6,euro7,9.6923076923,2.2,sig,nesig,0.226984127,B2
0. male,N2_N1,euro6,euro9,9.6923076923,2.5384615385,sig,nesig,0.2619047619,B2
0. male,N2_N1,euro7,euro1,5.0192307692,4.9166666667,sig,sig,0.9795657727,B1
0. male,N2_N1,euro7,euro10,1.7142857143,0.88,nesig,nesig,0.5133333333,B4
0. male,N2_N1,euro7,euro12,2.4230769231,1.5476190476,nesig,nesig,0.6386999244,B4
0. male,N2_N1,euro7,euro3,8.6666666667,,nesig,nesig,,B4
0. male,N2_N1,euro7,euro5,3.0849673203,3.9333333333,sig,sig,1.275,B1
0. male,N2_N1,euro7,euro6,9.6923076923,2.2,sig,nesig,0.226984127,B2
0. male,N2_N1,euro7,euro7,,,nesig,nesig,,B4
0. male,N2_N1,euro7,euro9,8.15625,4.575,sig,sig,0.5609195402,B1
0. male,N2_N1,euro8,euro1,10.105263158,1.7368421053,nesig,nesig,0.171875,B4
0. male,N2_N1,euro8,euro12,6.5,4.7142857143,nesig,nesig,0.7252747253,B4
0. male,N2_N1,euro8,euro5,8.7272727273,1.5,nesig,nesig,0.171875,B4
0. male,N2_N1,euro8,euro8,,,nesig,nesig,,B4
0. male,N2_N1,euro8,euro9,13.714285714,10.833333333,sig,nesig,0.7899305556,B2
0. male,N2_N1,euro9,euro1,6.7857142857,9.4909090909,sig,sig,1.3986602871,B1
0. male,N2_N1,euro9,euro10,4.3055555556,5.8181818182,sig,sig,1.3513196481,B1
0. male,N2_N1,euro9,euro12,0.8666666667,1.8055555556,nesig,nesig,2.0833333333,B4
0. male,N2_N1,euro9,euro2,0.6875,1.8055555556,nesig,nesig,2.6262626263,B4
0. male,N2_N1,euro9,euro3,,5.0769230769,nesig,nesig,,B4
0. male,N2_N1,euro9,euro4,8.6666666667,1.6923076923,nesig,nesig,0.1952662722,B4
0. male,N2_N1,euro9,euro5,5.4285714286,10.961538462,sig,sig,2.0192307692,B1
0. male,N2_N1,euro9,euro6,9.6923076923,2.5384615385,sig,nesig,0.2619047619,B2
0. male,N2_N1,euro9,euro7,8.15625,4.575,sig,sig,0.5609195402,B1
0. male,N2_N1,euro9,euro8,13.714285714,10.833333333,sig,nesig,0.7899305556,B2
0. male,N2_N1,euro9,euro9,,,nesig,nesig,,B4
0. male,N2_N1C,euro1,euro1,,,nesig,nesig,,B4
0. male,N2_N1C,euro1,euro10,4.1841168091,4.8649614961,sig,sig,1.1627212428,B1
0. male,N2_N1C,euro1,euro11,2.2594982079,5.0094043887,sig,sig,2.2170428687,B1
0. male,N2_N1C,euro1,euro12,7.2690789474,8.1645979493,sig,sig,1.1231956632,B1
0. male,N2_N1C,euro1,euro2,1.535734072,5.5519266055,nesig,sig,3.6151614441,B3
0. male,N2_N1C,euro1,euro3,67.784946237,14.62962963,sig,sig,0.2158241681,B1
0. male,N2_N1C,euro1,euro4,3.609,11.114583333,sig,sig,3.0796850466,B1
0. male,N2_N1C,euro1,euro5,6.1431818182,4.7619914997,sig,sig,0.7751669478,B1
0. male,N2_N1C,euro1,euro6,5.5861204013,6.0102040816,sig,sig,1.0759173899,B1
0. male,N2_N1C,euro1,euro7,5.5469953775,7.6651285432,sig,sig,1.3818523401,B1
0. male,N2_N1C,euro1,euro8,6.4842105263,5.6709923664,sig,sig,0.8745848617,B1
0. male,N2_N1C,euro1,euro9,6.4715625,4.1851792574,sig,sig,0.6467030578,B1
0. male,N2_N1C,euro10,euro1,4.1841168091,4.8649614961,sig,sig,1.1627212428,B1
0. male,N2_N1C,euro10,euro10,,,nesig,nesig,,B4
0. male,N2_N1C,euro10,euro11,4.6075862069,2.7714061273,sig,sig,0.6014876343,B1
0. male,N2_N1C,euro10,euro12,1.5954907162,2.8861693862,nesig,sig,1.8089540459,B3
0. male,N2_N1C,euro10,euro2,2.450617284,4.2305084746,sig,sig,1.7263032063,B1
0. male,N2_N1C,euro10,euro3,6.0564971751,8.472972973,sig,sig,1.3989890077,B1
0. male,N2_N1C,euro10,euro4,3.0567465322,2.4993074792,sig,sig,0.8176364814,B1
0. male,N2_N1C,euro10,euro5,3.1916666667,4.3188286809,sig,sig,1.3531578112,B1
0. male,N2_N1C,euro10,euro6,3.5087719298,6.0531975099,sig,sig,1.7251612903,B1
0. male,N2_N1C,euro10,euro7,3.8258310249,3.5305164319,sig,sig,0.9228103408,B1
0. male,N2_N1C,euro10,euro8,3.6338983051,6.0459183673,sig,sig,1.6637555209,B1
0. male,N2_N1C,euro10,euro9,8.2192708333,5.8110119048,sig,sig,0.7069984701,B1
0. male,N2_N1C,euro11,euro1,2.2594982079,5.0094043887,sig,sig,2.2170428687,B1
0. male,N2_N1C,euro11,euro10,4.6075862069,2.7714061273,sig,sig,0.6014876343,B1
0. male,N2_N1C,euro11,euro11,,,nesig,nesig,,B4
0. male,N2_N1C,euro11,euro12,1.4428571429,1.8115942029,nesig,nesig,1.2555603386,B4
0. male,N2_N1C,euro11,euro2,6.5822660099,5.7058823529,sig,sig,0.866856846,B1
0. male,N2_N1C,euro11,euro3,7.2333333333,3.0542986425,sig,sig,0.4222532686,B1
0. male,N2_N1C,euro11,euro4,2.5777777778,3.35,nesig,sig,1.2995689655,B3
0. male,N2_N1C,euro11,euro5,2.284057971,2.7311320755,sig,sig,1.1957367589,B1
0. male,N2_N1C,euro11,euro6,7.8039215686,6.1421052632,sig,sig,0.7870536895,B1
0. male,N2_N1C,euro11,euro7,1.0160472973,2.5490196078,nesig,sig,2.5087607778,B3
0. male,N2_N1C,euro11,euro8,3.5647058824,6.385026738,sig,sig,1.7911791179,B1
0. male,N2_N1C,euro11,euro9,3.5214521452,3.2004491859,sig,sig,0.9088435832,B1
0. male,N2_N1C,euro12,euro1,7.2690789474,8.1645979493,sig,sig,1.1231956632,B1
0. male,N2_N1C,euro12,euro10,1.5954907162,2.8861693862,nesig,sig,1.8089540459,B3
0. male,N2_N1C,euro12,euro11,1.4428571429,1.8115942029,nesig,nesig,1.2555603386,B4
0. male,N2_N1C,euro12,euro12,,,nesig,nesig,,B4
0. male,N2_N1C,euro12,euro2,1.8272727273,1.922705314,nesig,nesig,1.0522267888,B4
0. male,N2_N1C,euro12,euro3,15.037593985,2.1481481481,sig,nesig,0.1428518519,B2
0. male,N2_N1C,euro12,euro4,2.4606060606,2.6339869281,nesig,sig,1.0704626678,B3
0. male,N2_N1C,euro12,euro5,3.4776500639,4.0714285714,sig,sig,1.1707413042,B1
0. male,N2_N1C,euro12,euro6,7.3703703704,3.8797909408,sig,sig,0.526403796,B1
0. male,N2_N1C,euro12,euro7,3.6018518519,3.1013937282,sig,sig,0.8610553281,B1
0. male,N2_N1C,euro12,euro8,4.300304878,2.0267558528,sig,nesig,0.471305154,B2
0. male,N2_N1C,euro12,euro9,3.250571211,3.7137313433,sig,sig,1.142485767,B1
0. male,N2_N1C,euro2,euro1,1.535734072,5.5519266055,nesig,sig,3.6151614441,B3
0. male,N2_N1C,euro2,euro10,2.450617284,4.2305084746,sig,sig,1.7263032063,B1
0. male,N2_N1C,euro2,euro11,6.5822660099,5.7058823529,sig,sig,0.866856846,B1
0. male,N2_N1C,euro2,euro12,1.8272727273,1.922705314,nesig,nesig,1.0522267888,B4
0. male,N2_N1C,euro2,euro2,,,nesig,nesig,,B4
0. male,N2_N1C,euro2,euro3,1.7798833819,19.475471698,nesig,sig,10.941993108,B3
0. male,N2_N1C,euro2,euro4,0.96,2.7724137931,nesig,sig,2.8879310345,B3
0. male,N2_N1C,euro2,euro5,1.9033816425,3.1666666667,sig,sig,1.6637055838,B1
0. male,N2_N1C,euro2,euro6,6.6333333333,5.2432432432,sig,sig,0.7904386799,B1
0. male,N2_N1C,euro2,euro7,1.7792792793,2.1611111111,nesig,sig,1.2145991561,B3
0. male,N2_N1C,euro2,euro8,2.3936170213,3.7593984962,nesig,sig,1.5705931495,B3
0. male,N2_N1C,euro2,euro9,2.8171617162,3.9136212625,sig,sig,1.3892071726,B1
0. male,N2_N1C,euro3,euro1,67.784946237,14.62962963,sig,sig,0.2158241681,B1
0. male,N2_N1C,euro3,euro10,6.0564971751,8.472972973,sig,sig,1.3989890077,B1
0. male,N2_N1C,euro3,euro11,7.2333333333,3.0542986425,sig,sig,0.4222532686,B1
0. male,N2_N1C,euro3,euro12,15.037593985,2.1481481481,sig,nesig,0.1428518519,B2
0. male,N2_N1C,euro3,euro2,1.7798833819,19.475471698,nesig,sig,10.941993108,B3
0. male,N2_N1C,euro3,euro3,,,nesig,nesig,,B4
0. male,N2_N1C,euro3,euro4,1.4201388889,6.7725752508,nesig,sig,4.7689527439,B3
0. male,N2_N1C,euro3,euro5,19.659574468,8.8222222222,sig,sig,0.4487493987,B1
0. male,N2_N1C,euro3,euro6,9.1818181818,6.3058823529,sig,sig,0.6867792662,B1
0. male,N2_N1C,euro3,euro7,4.69921875,3.3154639175,sig,sig,0.7055351312,B1
0. male,N2_N1C,euro3,euro8,12.962566845,6.4903846154,sig,sig,0.5007021135,B1
0. male,N2_N1C,euro3,euro9,5.0568900126,12.993421053,sig,sig,2.5694490132,B1
0. male,N2_N1C,euro4,euro1,3.609,11.114583333,sig,sig,3.0796850466,B1
0. male,N2_N1C,euro4,euro10,3.0567465322,2.4993074792,sig,sig,0.8176364814,B1
0. male,N2_N1C,euro4,euro11,2.5777777778,3.35,nesig,sig,1.2995689655,B3
0. male,N2_N1C,euro4,euro12,2.4606060606,2.6339869281,nesig,sig,1.0704626678,B3
0. male,N2_N1C,euro4,euro2,0.96,2.7724137931,nesig,sig,2.8879310345,B3
0. male,N2_N1C,euro4,euro3,1.4201388889,6.7725752508,nesig,sig,4.7689527439,B3
0. male,N2_N1C,euro4,euro4,,,nesig,nesig,,B4
0. male,N2_N1C,euro4,euro5,2.9236363636,2.5296610169,sig,sig,0.8652447508,B1
0. male,N2_N1C,euro4,euro6,5.7857142857,3.7989473684,sig,sig,0.6566081871,B1
0. male,N2_N1C,euro4,euro7,3.0140581068,3.7398550725,sig,sig,1.2408039062,B1
0. male,N2_N1C,euro4,euro8,1.0328282828,6.1060606061,nesig,sig,5.9119804401,B3
0. male,N2_N1C,euro4,euro9,2.5422924901,5.5773273273,nesig,sig,2.1938181185,B3
0. male,N2_N1C,euro5,euro1,6.1431818182,4.7619914997,sig,sig,0.7751669478,B1
0. male,N2_N1C,euro5,euro10,3.1916666667,4.3188286809,sig,sig,1.3531578112,B1
0. male,N2_N1C,euro5,euro11,2.284057971,2.7311320755,sig,sig,1.1957367589,B1
0. male,N2_N1C,euro5,euro12,3.4776500639,4.0714285714,sig,sig,1.1707413042,B1
0. male,N2_N1C,euro5,euro2,1.9033816425,3.1666666667,sig,sig,1.6637055838,B1
0. male,N2_N1C,euro5,euro3,19.659574468,8.8222222222,sig,sig,0.4487493987,B1
0. male,N2_N1C,euro5,euro4,2.9236363636,2.5296610169,sig,sig,0.8652447508,B1
0. male,N2_N1C,euro5,euro5,,,nesig,nesig,,B4
0. male,N2_N1C,euro5,euro6,3.6861702128,3.6465346535,sig,sig,0.9892474962,B1
0. male,N2_N1C,euro5,euro7,3.7171717172,4.2918424754,sig,sig,1.1545989268,B1
0. male,N2_N1C,euro5,euro8,3.1397174254,4.9269911504,sig,sig,1.5692466814,B1
0. male,N2_N1C,euro5,euro9,4.251299008,3.788856305,sig,sig,0.8912231997,B1
0. male,N2_N1C,euro6,euro1,5.5861204013,6.0102040816,sig,sig,1.0759173899,B1
0. male,N2_N1C,euro6,euro10,3.5087719298,6.0531975099,sig,sig,1.7251612903,B1
0. male,N2_N1C,euro6,euro11,7.8039215686,6.1421052632,sig,sig,0.7870536895,B1
0. male,N2_N1C,euro6,euro12,7.3703703704,3.8797909408,sig,sig,0.526403796,B1
0. male,N2_N1C,euro6,euro2,6.6333333333,5.2432432432,sig,sig,0.7904386799,B1
0. male,N2_N1C,euro6,euro3,9.1818181818,6.3058823529,sig,sig,0.6867792662,B1
0. male,N2_N1C,euro6,euro4,5.7857142857,3.7989473684,sig,sig,0.6566081871,B1
0. male,N2_N1C,euro6,euro5,3.6861702128,3.6465346535,sig,sig,0.9892474962,B1
0. male,N2_N1C,euro6,euro6,,,nesig,nesig,,B4
0. male,N2_N1C,euro6,euro7,1.7901785714,3.0152439024,nesig,sig,1.6843257709,B3
0. male,N2_N1C,euro6,euro8,5.9411764706,9.6185064935,sig,sig,1.6189565385,B1
0. male,N2_N1C,euro6,euro9,7.572815534,7.2734117647,sig,sig,0.9604633484,B1
0. male,N2_N1C,euro7,euro1,5.5469953775,7.6651285432,sig,sig,1.3818523401,B1
0. male,N2_N1C,euro7,euro10,3.8258310249,3.5305164319,sig,sig,0.9228103408,B1
0. male,N2_N1C,euro7,euro11,1.0160472973,2.5490196078,nesig,sig,2.5087607778,B3
0. male,N2_N1C,euro7,euro12,3.6018518519,3.1013937282,sig,sig,0.8610553281,B1
0. male,N2_N1C,euro7,euro2,1.7792792793,2.1611111111,nesig,sig,1.2145991561,B3
0. male,N2_N1C,euro7,euro3,4.69921875,3.3154639175,sig,sig,0.7055351312,B1
0. male,N2_N1C,euro7,euro4,3.0140581068,3.7398550725,sig,sig,1.2408039062,B1
0. male,N2_N1C,euro7,euro5,3.7171717172,4.2918424754,sig,sig,1.1545989268,B1
0. male,N2_N1C,euro7,euro6,1.7901785714,3.0152439024,nesig,sig,1.6843257709,B3
0. male,N2_N1C,euro7,euro7,,,nesig,nesig,,B4
0. male,N2_N1C,euro7,euro8,4.6686217009,2.216066482,sig,nesig,0.4746725316,B2
0. male,N2_N1C,euro7,euro9,3.3417721519,3.9851649424,sig,sig,1.1925304184,B1
0. male,N2_N1C,euro8,euro1,6.4842105263,5.6709923664,sig,sig,0.8745848617,B1
0. male,N2_N1C,euro8,euro10,3.6338983051,6.0459183673,sig,sig,1.6637555209,B1
0. male,N2_N1C,euro8,euro11,3.5647058824,6.385026738,sig,sig,1.7911791179,B1
0. male,N2_N1C,euro8,euro12,4.300304878,2.0267558528,sig,nesig,0.471305154,B2
0. male,N2_N1C,euro8,euro2,2.3936170213,3.7593984962,nesig,sig,1.5705931495,B3
0. male,N2_N1C,euro8,euro3,12.962566845,6.4903846154,sig,sig,0.5007021135,B1
0. male,N2_N1C,euro8,euro4,1.0328282828,6.1060606061,nesig,sig,5.9119804401,B3
0. male,N2_N1C,euro8,euro5,3.1397174254,4.9269911504,sig,sig,1.5692466814,B1
0. male,N2_N1C,euro8,euro6,5.9411764706,9.6185064935,sig,sig,1.6189565385,B1
0. male,N2_N1C,euro8,euro7,4.6686217009,2.216066482,sig,nesig,0.4746725316,B2
0. male,N2_N1C,euro8,euro8,,,nesig,nesig,,B4
0. male,N2_N1C,euro8,euro9,3.9115479115,6.9940068493,sig,sig,1.7880406958,B1
0. male,N2_N1C,euro9,euro1,6.4715625,4.1851792574,sig,sig,0.6467030578,B1
0. male,N2_N1C,euro9,euro10,8.2192708333,5.8110119048,sig,sig,0.7069984701,B1
0. male,N2_N1C,euro9,euro11,3.5214521452,3.2004491859,sig,sig,0.9088435832,B1
0. male,N2_N1C,euro9,euro12,3.250571211,3.7137313433,sig,sig,1.142485767,B1
0. male,N2_N1C,euro9,euro2,2.8171617162,3.9136212625,sig,sig,1.3892071726,B1
0. male,N2_N1C,euro9,euro3,5.0568900126,12.993421053,sig,sig,2.5694490132,B1
0. male,N2_N1C,euro9,euro4,2.5422924901,5.5773273273,nesig,sig,2.1938181185,B3
0. male,N2_N1C,euro9,euro5,4.251299008,3.788856305,sig,sig,0.8912231997,B1
0. male,N2_N1C,euro9,euro6,7.572815534,7.2734117647,sig,sig,0.9604633484,B1
0. male,N2_N1C,euro9,euro7,3.3417721519,3.9851649424,sig,sig,1.1925304184,B1
0. male,N2_N1C,euro9,euro8,3.9115479115,6.9940068493,sig,sig,1.7880406958,B1
0. male,N2_N1C,euro9,euro9,,,nesig,nesig,,B4
0. male,N2_N2,euro1,euro1,,,nesig,nesig,,B4
0. male,N2_N2,euro1,euro10,3.0688044615,3.0358954623,sig,sig,0.9892762802,B1
0. male,N2_N2,euro1,euro11,2.4798534799,3.3798539023,sig,sig,1.362924838,B1
0. male,N2_N2,euro1,euro12,8.5232748538,7.2537485582,sig,sig,0.8510518178,B1
0. male,N2_N2,euro1,euro2,2.4270011747,2.5790378007,sig,sig,1.0626438205,B1
0. male,N2_N2,euro1,euro3,9.18,10.656280428,sig,sig,1.1608148615,B1
0. male,N2_N2,euro1,euro4,4.0214452214,10.060275273,sig,sig,2.5016566729,B1
0. male,N2_N2,euro1,euro5,4.4105090312,4.4777183601,sig,sig,1.0152384517,B1
0. male,N2_N2,euro1,euro6,5.1152263374,3.8615981704,sig,sig,0.7549222489,B1
