female,prechod,C,D,OR6,OR8,sig_OR6,sig_OR8,OR86,barva
0. male,N1C_N2,euro4,euro5,1.5194805195,3.48,nesig,sig,2.2902564103,B3
0. male,N1C_N2,euro4,euro6,1.0772727273,1.2473684211,nesig,nesig,1.1578947368,B4
0. male,N1C_N2,euro4,euro7,3.012987013,3.290960452,nesig,nesig,1.0922584259,B4
0. male,N1C_N2,euro4,euro9,0.9552845528,2.5548245614,nesig,nesig,2.6744120941,B4
0. male,N1C_N2,euro5,euro1,3.7393518519,5.196969697,sig,sig,1.3898049456,B1
0. male,N1C_N2,euro5,euro10,3.6166666667,3.6397058824,sig,sig,1.0063702901,B1
0. male,N1C_N2,euro5,euro11,1.877443609,4.2829705506,nesig,sig,2.2812778663,B3
0. male,N1C_N2,euro5,euro12,2.5479591837,4.2829705506,sig,sig,1.6809415857,B1
0. male,N1C_N2,euro5,euro2,3.7284946237,3.7125,sig,sig,0.9957101658,B1
0. male,N1C_N2,euro5,euro3,3.578125,4.35,sig,sig,1.215720524,B1
0. male,N1C_N2,euro5,euro4,1.5194805195,3.48,nesig,sig,2.2902564103,B3
0. male,N1C_N2,euro5,euro5,,,nesig,nesig,,B4
0. male,N1C_N2,euro5,euro6,5.3768382353,4.5810810811,sig,sig,0.852002772,B1
0. male,N1C_N2,euro5,euro7,4.1996753247,4.8039215686,sig,sig,1.1438792757,B1
0. male,N1C_N2,euro5,euro8,10.704225352,5.4444444444,sig,sig,0.508625731,B1
0. male,N1C_N2,euro5,euro9,4.2926829268,3.232,sig,sig,0.7529090909,B1
0. male,N1C_N2,euro6,euro1,6.96875,4.1409618574,sig,sig,0.5942187419,B1
0. male,N1C_N2,euro6,euro10,4.1628959276,7.4945454545,sig,sig,1.8003201581,B1
0. male,N1C_N2,euro6,euro11,6.4335664336,11.021390374,sig,sig,1.7131074169,B1
0. male,N1C_N2,euro6,euro12,3.640625,3.6984126984,sig,sig,1.0158730159,B1
0. male,N1C_N2,euro6,euro2,6.1339285714,14.408866995,sig,sig,2.3490438187,B1
0. male,N1C_N2,euro6,euro3,8.4363636364,5.9243697479,sig,sig,0.7022421037,B1
0. male,N1C_N2,euro6,euro4,1.0772727273,1.2473684211,nesig,nesig,1.1578947368,B4
0. male,N1C_N2,euro6,euro5,5.3768382353,4.5810810811,sig,sig,0.852002772,B1
0. male,N1C_N2,euro6,euro6,,,nesig,nesig,,B4
0. male,N1C_N2,euro6,euro7,2.3209459459,2.7380952381,nesig,sig,1.1797324461,B3
0. male,N1C_N2,euro6,euro8,9.1015625,6.2142857143,sig,sig,0.6827713059,B1
0. male,N1C_N2,euro6,euro9,5.078125,10.136363636,sig,sig,1.9960839161,B1
0. male,N1C_N2,euro7,euro1,4.03125,6.1836734694,sig,sig,1.533934504,B1
0. male,N1C_N2,euro7,euro10,6.0438596491,4.1111111111,sig,sig,0.6802128689,B1
0. male,N1C_N2,euro7,euro11,1.8252923977,4.4117647059,nesig,sig,2.4170180687,B3
0. male,N1C_N2,euro7,euro12,2.0821917808,3.7252747253,nesig,sig,1.7891122036,B3
